Rule,Support,Confidence
l_N-Dem-Num-A=0 & n_N-Dem-A-Num=0 --> h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0, 2, 0.2222222222222222
c_Dem-N-A-Num=0 & n_N-Dem-A-Num=0 --> h_Dem-N-Num-A=0 & l_N-Dem-Num-A=0, 2, 0.2857142857142857
n_N-Dem-A-Num=0 --> h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0 & l_N-Dem-Num-A=0, 2, 0.046511627906976744
c_Dem-N-A-Num=0 & l_N-Dem-Num-A=0 --> h_Dem-N-Num-A=0 & n_N-Dem-A-Num=0, 2, 0.4
l_N-Dem-Num-A=0 --> h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0 & n_N-Dem-A-Num=0, 2, 0.02666666666666667
c_Dem-N-A-Num=0 --> h_Dem-N-Num-A=0 & l_N-Dem-Num-A=0 & n_N-Dem-A-Num=0, 2, 0.010638297872340425
h_Dem-N-Num-A=0 & l_N-Dem-Num-A=0 & n_N-Dem-A-Num=0 --> c_Dem-N-A-Num=0, 2, 1.0
h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0 & n_N-Dem-A-Num=0 --> l_N-Dem-Num-A=0, 2, 1.0
h_Dem-N-Num-A=0 & n_N-Dem-A-Num=0 --> c_Dem-N-A-Num=0 & l_N-Dem-Num-A=0, 2, 0.6666666666666666
h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0 & l_N-Dem-Num-A=0 --> n_N-Dem-A-Num=0, 2, 0.6666666666666666
h_Dem-N-Num-A=0 & l_N-Dem-Num-A=0 --> c_Dem-N-A-Num=0 & n_N-Dem-A-Num=0, 2, 0.25
h_Dem-N-Num-A=0 & c_Dem-N-A-Num=0 --> l_N-Dem-Num-A=0 & n_N-Dem-A-Num=0, 2, 0.08333333333333333
h_Dem-N-Num-A=0 --> c_Dem-N-A-Num=0 & l_N-Dem-Num-A=0 & n_N-Dem-A-Num=0, 2, 0.024691358024691357
